(-10.0, 100.0) 
(-9.8, 96.04000000000002) 
(-9.6, 92.16) 
(-9.4, 88.36000000000001) 
(-9.2, 84.63999999999999) 
(-9.0, 81.0) 
(-8.8, 77.44000000000001) 
(-8.6, 73.96) 
(-8.4, 70.56) 
(-8.2, 67.24) 
(-8.0, 64.0) 
(-7.8, 60.839999999999996) 
(-7.6, 57.76) 
(-7.4, 54.760000000000005) 
(-7.199999999999999, 51.83999999999999) 
(-7.0, 49.0) 
(-6.8, 46.239999999999995) 
(-6.6, 43.559999999999995) 
(-6.4, 40.96000000000001) 
(-6.199999999999999, 38.43999999999999) 
(-6.0, 36.0) 
(-5.8, 33.64) 
(-5.6, 31.359999999999996) 
(-5.3999999999999995, 29.159999999999993) 
(-5.199999999999999, 27.039999999999992) 
(-5.0, 25.0) 
(-4.8, 23.04) 
(-4.6, 21.159999999999997) 
(-4.3999999999999995, 19.359999999999996) 
(-4.199999999999999, 17.639999999999993) 
(-4.0, 16.0) 
(-3.8, 14.44) 
(-3.5999999999999996, 12.959999999999997) 
(-3.3999999999999995, 11.559999999999997) 
(-3.1999999999999993, 10.239999999999995) 
(-3.0, 9.0) 
(-2.8, 7.839999999999999) 
(-2.5999999999999996, 6.759999999999998) 
(-2.3999999999999995, 5.759999999999997) 
(-2.1999999999999993, 4.839999999999997) 
(-2.0, 4.0) 
(-1.799999999999999, 3.239999999999996) 
(-1.5999999999999996, 2.5599999999999987) 
(-1.4000000000000004, 1.960000000000001) 
(-1.1999999999999993, 1.4399999999999984) 
(-1.0, 1.0) 
(-0.7999999999999989, 0.6399999999999983) 
(-0.5999999999999996, 0.3599999999999996) 
(-0.3999999999999986, 0.15999999999999887) 
(-0.1999999999999993, 0.039999999999999716) 
(0.0, 0.0) 
(0.20000000000000107, 0.040000000000000424) 
(0.40000000000000036, 0.16000000000000028) 
(0.6000000000000014, 0.3600000000000017) 
(0.8000000000000007, 0.6400000000000011) 
(1.0, 1.0) 
(1.200000000000001, 1.4400000000000026) 
(1.4000000000000004, 1.960000000000001) 
(1.6000000000000014, 2.5600000000000045) 
(1.8000000000000007, 3.2400000000000024) 
(2.0, 4.0) 
(2.200000000000001, 4.840000000000004) 
(2.4000000000000004, 5.760000000000002) 
(2.6000000000000014, 6.760000000000008) 
(2.8000000000000007, 7.840000000000004) 
(3.0, 9.0) 
(3.200000000000001, 10.240000000000007) 
(3.4000000000000004, 11.560000000000002) 
(3.6000000000000014, 12.96000000000001) 
(3.8000000000000007, 14.440000000000005) 
(4.0, 16.0) 
(4.200000000000001, 17.640000000000008) 
(4.4, 19.360000000000003) 
(4.600000000000001, 21.160000000000014) 
(4.800000000000001, 23.040000000000006) 
(5.0, 25.0) 
(5.200000000000001, 27.04000000000001) 
(5.4, 29.160000000000004) 
(5.600000000000001, 31.360000000000017) 
(5.800000000000001, 33.64000000000001) 
(6.0, 36.0) 
(6.199999999999999, 38.43999999999999) 
(6.400000000000002, 40.96000000000003) 
(6.600000000000001, 43.56000000000002) 
(6.800000000000001, 46.24000000000001) 
(7.0, 49.0) 
(7.199999999999999, 51.83999999999999) 
(7.400000000000002, 54.76000000000003) 
(7.600000000000001, 57.76000000000002) 
(7.800000000000001, 60.84000000000001) 
(8.0, 64.0) 
(8.2, 67.24) 
(8.400000000000002, 70.56000000000003) 
(8.600000000000001, 73.96000000000002) 
(8.8, 77.44000000000001) 
(9.0, 81.0) 
(9.200000000000003, 84.64000000000006) 
(9.400000000000002, 88.36000000000004) 
(9.600000000000001, 92.16000000000003) 
(9.8, 96.04000000000002) 
